State,State Abbrev,QuarterYear,Year,Entry Date,Qtr_Since_Entry,State_Exit_Qtr,Revenue at the Target of Boycott,Population,State Per Capita Income,ln(State Per Capita Income),Healthcare PPI,Rev Per Cap,Log Rev Per Cap,Boycott State,Rev Per Cap Lagged
ALABAMA,AL,2013-01-01 00:00:00,2013,2013-01-01 00:00:00,0,2013-01-01 00:00:00,3780,4830081,35900,10.48849257,118.7,0.000782596,-7.152894507,1,
ARKANSAS,AR,2012-01-01 00:00:00,2012,2012-01-01 00:00:00,0,2022-10-01 00:00:00,170334.6,2952164,35988,10.49094083,116.9,0.057698217,-2.852529002,1,0.000782596
ARKANSAS,AR,2012-04-01 00:00:00,2012,2012-01-01 00:00:00,1,2022-10-01 00:00:00,203216.76,2952164,36556,10.50660061,117.3,0.068836542,-2.676020547,1,0.057698217
ARKANSAS,AR,2012-07-01 00:00:00,2012,2012-01-01 00:00:00,2,2022-10-01 00:00:00,928530.81,2952164,36187,10.49645522,117.7,0.314525484,-1.156690177,1,0.068836542
ARKANSAS,AR,2012-10-01 00:00:00,2012,2012-01-01 00:00:00,3,2022-10-01 00:00:00,2621295.36,2952164,37595,10.53462634,118.2,0.887923354,-0.118869853,1,0.314525484
ARKANSAS,AR,2013-01-01 00:00:00,2013,2012-01-01 00:00:00,4,2022-10-01 00:00:00,3539132.97,2959400,36500,10.50506754,118.7,1.195895442,0.178895228,1,0.887923354
ARKANSAS,AR,2013-04-01 00:00:00,2013,2012-01-01 00:00:00,5,2022-10-01 00:00:00,4352884.05,2959400,36639,10.50886853,119.2,1.470867085,0.38585208,1,1.195895442
ARKANSAS,AR,2013-07-01 00:00:00,2013,2012-01-01 00:00:00,6,2022-10-01 00:00:00,5772416.52,2959400,36803,10.51333464,119.7,1.950536095,0.668104255,1,1.470867085
ARKANSAS,AR,2013-10-01 00:00:00,2013,2012-01-01 00:00:00,7,2022-10-01 00:00:00,6445108.2,2959400,36739,10.51159414,120.3,2.177842874,0.778334879,1,1.950536095
ARKANSAS,AR,2014-01-01 00:00:00,2014,2012-01-01 00:00:00,8,2022-10-01 00:00:00,7736716.32,2967392,37782,10.53958808,120.6,2.607244449,0.958293897,1,2.177842874
